time[s] ch1[V] ch2[V]
-3.805999999999999921e-03 -2.193743815976513523e-01 -1.701353418008878238e-01
-3.804999999999999789e-03 -2.233981827019154986e-01 -1.714922595867461319e-01
-3.803999999999999656e-03 -2.233981827019154986e-01 -1.691176534614940719e-01
-3.802999999999999957e-03 -2.193743815976513523e-01 -1.670822767827066235e-01
-3.801999999999999824e-03 -2.233981827019154986e-01 -1.691176534614940719e-01
-3.800999999999999691e-03 -2.213862821497834255e-01 -1.691176534614940719e-01
-3.799999999999999992e-03 -2.233981827019154986e-01 -1.694568829079586558e-01
-3.798999999999999860e-03 -2.203803318737173889e-01 -1.674215062291712075e-01
-3.797999999999999727e-03 -2.233981827019154986e-01 -1.691176534614940719e-01
-3.797000000000000028e-03 -2.213862821497834255e-01 -1.691176534614940719e-01
-3.795999999999999895e-03 -2.230628659432268290e-01 -1.708138006938169640e-01
-3.794999999999999762e-03 -2.213862821497834255e-01 -1.670822767827066235e-01
-3.793999999999999630e-03 -2.200450151150286915e-01 -1.718314890332106881e-01
-3.792999999999999931e-03 -2.237334994606041960e-01 -1.721707184796752721e-01
-3.791999999999999798e-03 -2.217215989084720951e-01 -1.684391945685649317e-01
-3.790999999999999665e-03 -2.220569156671607924e-01 -1.697961123544232398e-01
-3.789999999999999966e-03 -2.166918475281418843e-01 -1.711530301402815479e-01
-3.788999999999999833e-03 -2.173624810455192513e-01 -1.660645884433128994e-01
-3.787999999999999701e-03 -2.260807167714249666e-01 -1.680999651221003477e-01
-3.787000000000000002e-03 -2.203803318737173889e-01 -1.657253589968483154e-01
-3.785999999999999869e-03 -2.197096983563400219e-01 -1.680999651221003477e-01
-3.784999999999999736e-03 -2.244041329779815630e-01 -1.697961123544232398e-01
-3.784000000000000037e-03 -2.230628659432268290e-01 -1.694568829079586558e-01
-3.782999999999999904e-03 -2.213862821497834255e-01 -1.694568829079586558e-01
-3.781999999999999772e-03 -2.233981827019154986e-01 -1.718314890332106881e-01
-3.780999999999999639e-03 -2.197096983563400219e-01 -1.694568829079586558e-01
-3.779999999999999940e-03 -2.237334994606041960e-01 -1.708138006938169640e-01
-3.778999999999999807e-03 -2.230628659432268290e-01 -1.657253589968483154e-01
-3.777999999999999674e-03 -2.233981827019154986e-01 -1.701353418008878238e-01
-3.776999999999999975e-03 -2.197096983563400219e-01 -1.704745712473523800e-01
-3.775999999999999843e-03 -2.240688162192928656e-01 -1.711530301402815479e-01
-3.774999999999999710e-03 -2.203803318737173889e-01 -1.660645884433128994e-01
-3.774000000000000011e-03 -2.213862821497834255e-01 -1.721707184796752721e-01
-3.772999999999999878e-03 -2.260807167714249666e-01 -1.664038178897774556e-01
-3.771999999999999745e-03 -2.237334994606041960e-01 -1.694568829079586558e-01
-3.770999999999999613e-03 -2.197096983563400219e-01 -1.680999651221003477e-01
-3.769999999999999914e-03 -2.210509653910947558e-01 -1.711530301402815479e-01
-3.768999999999999781e-03 -2.240688162192928656e-01 -1.718314890332106881e-01
-3.767999999999999648e-03 -2.220569156671607924e-01 -1.708138006938169640e-01
-3.766999999999999949e-03 -2.233981827019154986e-01 -1.701353418008878238e-01
-3.765999999999999816e-03 -2.233981827019154986e-01 -1.718314890332106881e-01
-3.764999999999999684e-03 -2.227275491845381594e-01 -1.697961123544232398e-01
-3.763999999999999985e-03 -2.193743815976513523e-01 -1.704745712473523800e-01
-3.762999999999999852e-03 -2.190390648389626549e-01 -1.643684412109900073e-01
-3.761999999999999719e-03 -2.200450151150286915e-01 -1.697961123544232398e-01
-3.761000000000000020e-03 -2.233981827019154986e-01 -1.714922595867461319e-01
-3.759999999999999887e-03 -2.254100832540475996e-01 -1.691176534614940719e-01
-3.758999999999999755e-03 -2.213862821497834255e-01 -1.687784240150295156e-01
-3.757999999999999622e-03 -2.230628659432268290e-01 -1.714922595867461319e-01
-3.756999999999999923e-03 -2.260807167714249666e-01 -1.684391945685649317e-01
-3.755999999999999790e-03 -2.240688162192928656e-01 -1.687784240150295156e-01
