# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
9.862521794868779779e+00,7.366318391290823797e+01,1.858919442507993569e-01,2.399214746888431282e+00,2.837174688512631923e-03
1.004625061717340806e+01,7.313629794464459621e+01,1.941249759218422744e-01,2.390850378916899555e+00,2.091982926287093512e-03
1.023340212191641818e+01,7.229295602230467921e+01,2.133527133475520143e-01,2.381178762329404730e+00,2.404568234415234342e-03
1.042404007021556289e+01,7.189676563016965360e+01,2.928688041975653356e-01,2.370939435000853912e+00,2.070099832936405336e-03
1.061822941099384110e+01,7.119345667278103917e+01,2.315413002585600122e-01,2.366126907302395832e+00,4.198104725840245792e-03
1.081603630310709896e+01,7.043337974539683444e+01,1.549519700655615229e-01,2.354940098921665115e+00,3.225985538349593427e-03
1.101752813788386831e+01,6.989929519590302220e+01,2.358395673705258044e-01,2.346043522117065461e+00,2.343453064057080936e-03
1.122277356208507726e+01,6.913914234657519842e+01,2.389909267596264375e-01,2.335080956941786301e+00,3.403425921466972023e-03
1.143184250129149682e+01,6.856128140461143516e+01,1.623675356723382757e-01,2.325409116549132627e+00,2.890133420425800102e-03
1.164480618372686038e+01,6.783090038531631194e+01,2.187395861348373216e-01,2.318371309188673290e+00,3.601183415390030521e-03
1.186173716452478644e+01,6.712559333035784448e+01,2.061111335315917170e-01,2.310512159880297123e+00,3.987841508023893568e-03
1.208270935044776628e+01,6.649820299025820702e+01,1.882555037765071826e-01,2.301167610161703792e+00,4.620231801557748812e-03
1.230779802506665099e+01,6.588388750809701833e+01,2.125534759391130291e-01,2.289879083260068171e+00,2.446389892413143585e-03
1.253707987440920313e+01,6.508855406521215059e+01,1.991459385370472068e-01,2.278980201194969801e+00,1.487852515043145731e-03
1.277063301308644050e+01,6.432341274790843499e+01,1.872372921813102165e-01,2.272461380372509776e+00,2.062054495945847988e-03
1.300853701090571235e+01,6.368827764145751047e+01,1.065339326729026620e-01,2.262939802795714161e+00,1.940971002456476097e-03
1.325087291997953187e+01,6.302911133582652070e+01,2.208303056934070308e-01,2.255622325839801157e+00,3.928610236258949819e-03
